molecule_chembl_id,canonical_smiles,standard_value,curated_smiles,pIC50,inchikey
CHEMBL1651956,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,590.0,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,6.229147988357855,OLROWHGDTNFZBH-XEMWPYQTSA-N
CHEMBL4099168,Cc1cc(Nc2ccc(C#N)cc2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,590.0,Cc1cc(Nc2ccc(C#N)cc2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,6.229147988357855,OSXANEXPVMBTSQ-UHFFFAOYSA-N
CHEMBL5428669,COc1cc2c(cc1OC)CN(C(=O)c1cc3cc(-c4ccc(NC(=O)c5ccc(I)cc5)cc4)ccc3[nH]1)CC2,593.0,COc1cc2c(cc1OC)CN(C(=O)c1cc3cc(-c4ccc(NC(=O)c5ccc(I)cc5)cc4)ccc3[nH]1)CC2,6.226945306635737,YGVZQUSSABXDCM-UHFFFAOYSA-N
CHEMBL5085998,COc1cc([C@H]2c3ncccc3C(=O)N3C=CN(C(C)=O)C[C@H]23)cc2c1OCO2,600.0,COc1cc([C@H]2c3ncccc3C(=O)N3C=CN(C(C)=O)C[C@H]23)cc2c1OCO2,6.221848749616356,SCAMUIOJOQXVJF-CRAIPNDOSA-N
CHEMBL1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,600.0,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,6.221848749616356,WDQPAMHFFCXSNU-BGABXYSRSA-N
CHEMBL319952,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCCCC1,602.56,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCCCC1,6.219999701663429,DMYOHQBLOZMDLP-UHFFFAOYSA-N
CHEMBL1643341,COc1cc(CCC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,610.0,COc1cc(CCC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,6.214670164989233,JXCYICKXOWATCA-DUOCIXOMSA-N
CHEMBL4649501,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)c(C#N)c4)nc3)cc1)CC2,610.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)c(C#N)c4)nc3)cc1)CC2,6.214670164989233,YXRXEFGONUMTKW-RIYZIHGNSA-N
CHEMBL4442995,CCOc1cc(O)cc2c1C[C@@H](OC(=O)c1cc(OCC)c(OCC)c(OCC)c1)[C@@H](c1cc(O)c(OCC)c(OCC)c1)O2,620.0,CCOc1cc(O)cc2c1C[C@@H](OC(=O)c1cc(OCC)c(OCC)c(OCC)c1)[C@@H](c1cc(O)c(OCC)c(OCC)c1)O2,6.2076083105017466,QNYUPQMBRWBCFP-FIRIVFDPSA-N
CHEMBL260113,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc4ccccc4c3)cc1)CC2,630.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc4ccccc4c3)cc1)CC2,6.200659450546418,SNASXRQDKMDEGV-UHFFFAOYSA-N
